Country,Year,GDP,InflationRate,UnemploymentRate
Germany,2007,90661.79867712394,5.759450595947923,2.645348818625598
China,2017,,8.776445291678767,7.760611605480686
India,2013,73845.37192032722,8.532894751195315,19.883763770502387
Brazil,2006,64123.88279817863,4.430879461891561,3.701807726145201
UK,2009,80711.4738929391,9.761348662318278,5.872063965403424
Brazil,2011,4103.835029702299,0.5830107772064874,11.336718741313057
USA,2004,31790.516043249405,9.991816260500666,19.377120360107888
Italy,2001,99806.42324046858,5.501556911288103,22.015724316495483
UK,2019,83094.17042693401,2.0649921190209266,9.921649453569326
USA,2000,57374.54479311478,3.2469969193644754,24.120762041405424
India,2006,35909.37479104412,,3.2910052792973294
Brazil,2013,87074.0738866966,3.2055939319471705,3.5492895382420784
UK,2012,70442.90835994827,7.72232076783291,18.337643791741176
India,2007,20835.69500679985,0.21219112577872346,11.868876756191074
UK,2004,43263.68271334674,0.8162877388225065,23.688937892278446
Canada,2009,67909.6416660167,2.4610474478974167,
Spain,2006,84693.09506839259,8.96314001790991,7.392830633958081
UK,2019,41313.54895524546,5.770054457582181,6.823571276201504
France,2012,17041.427904388205,,7.343216394580379
China,2019,,7.016503994389045,12.713995646465012
India,2007,56485.40950756485,7.783640857568561,14.362867621391583
Brazil,2022,,9.137375565371201,8.813278904700695
India,2007,78750.55748863348,2.780159444350266,22.64445165041723
Spain,2003,69551.71876358558,4.201904950722311,2.171252585809208
India,2000,79415.38557992432,4.686031762783502,5.265236111492053
Italy,2012,14324.855141049356,9.767053982406885,8.080545531270575
France,2014,69591.78106613924,2.1571639575959214,5.971673890055521
USA,2003,69746.58354495857,4.912111063944932,4.073127064789864
China,2015,56825.746694794914,5.502204531685388,5.1437853103538185
USA,2009,62319.212748115075,2.0402591594600894,15.170867059234391
France,2010,63189.512481300415,5.072472956761293,22.73749460227146
France,2018,39187.949797654604,7.91268986457589,16.99610772839446
USA,2008,71601.68269333604,3.141598350808935,7.835523665887939
Brazil,2000,43613.50906101854,2.052355268967566,4.698262114085605
Spain,2021,70780.98904113122,4.740639072994566,2.621247985554259
China,2012,56176.13647838187,2.7831535715655686,8.609722933119407
Germany,2015,29513.11028871647,2.649104144581873,14.028953664820301
UK,2021,76976.71871600668,0.9544296213173842,6.63126458212662
Brazil,2008,70140.68735394633,2.41097571615947,20.085574439961977
Canada,2002,44968.4936388018,6.959221793262021,16.608661367769248
China,2015,15972.385213244565,,
UK,2000,,9.246557315193051,2.423821045995828
USA,2012,94054.74880664016,2.200054722283742,15.577029546792778
Brazil,2011,24681.518397256572,9.297983330885156,0.021456269631450753
France,2015,75031.25136437564,1.3059992503585605,4.944981800646403
UK,2014,64262.543301840575,3.8274071880101115,
USA,2010,16635.321518364624,,18.97422816724259
India,2008,58339.88535792381,,23.262375311176285
Germany,2021,82556.29831415648,0.12553998735736815,13.993603906426364
Spain,2022,,5.882862328351943,6.894480125675361
Canada,2004,81795.86932149439,6.498403998353293,19.025644767504744
USA,2003,11656.230344299289,6.385899469862251,8.745233687699228
France,2021,8083.8533367739365,6.534472685262138,12.707152822395877
UK,2017,94496.20066468298,5.484319019027422,13.291506161627956
France,2020,,6.494324202565451,
Spain,2014,19577.860086330886,0.11171271861489918,16.382752821165464
UK,2010,29673.597766814746,8.002095750285678,
France,2013,6884.703796367311,8.427854530104542,24.1383309695958
Brazil,2013,3094.0834863459336,9.282301337388763,19.91495611577654
Germany,2007,43453.34995125901,0.9687061527099505,17.708607684864475
UK,2006,66178.6594531801,6.7440725958630825,8.23404761656055
UK,2008,92027.41109930343,,18.742391420073528
Brazil,2008,94912.21849786954,1.505285273560697,14.777488230610288
USA,2002,,2.7261509066790723,
Spain,2019,94847.6077796615,8.056756042788486,10.370962710054268
Brazil,2008,54381.412693226936,6.223364763590976,1.1490914323159018
Brazil,2005,79740.45229250558,6.569452799703641,2.1661764936724612
India,2005,94227.00217531063,2.943112733657215,22.21600073784353
China,2003,48096.23249164013,6.021605382182549,13.460727938899925
Brazil,2015,49525.17717685125,5.618408750478665,17.61829827515157
USA,2014,4327.348166264066,7.1527735743871865,19.09005826047386
Canada,2008,43349.887108920324,9.451991660645628,3.1469915161598556
Spain,2009,,,23.730735742847912
UK,2003,27061.355164399312,7.361960546636487,
Canada,2008,31690.247951203215,,3.4956891728657844
Canada,2016,2678.535119173865,1.905714121081501,1.4943603368279434
USA,2010,62403.300408514995,1.9970115908316433,
India,2010,,6.020478670478315,19.729159901516976
Italy,2003,54705.85862958621,1.0123395075295105,22.410799980179018
UK,2015,97315.34208723227,3.4891692888362433,24.85628965820245
Italy,2010,62073.80197860442,,5.850837319267649
India,2003,97887.48171702937,3.9437260938998095,19.295494949224743
Germany,2002,70459.64085919512,4.297380535537742,20.86193918502999
India,2011,33212.90418984936,2.939791047354623,22.134561073293053
Germany,2020,59206.05289871752,5.690871664483997,24.673466474178444
China,2005,13178.80294270292,1.302412723785421,6.096482827654801
France,2017,,0.4100514868843752,14.601137688878637
Spain,2000,56622.4137947762,2.2858973519548664,1.2245330061497417
UK,2018,35461.93888555714,4.8775614056227035,16.786010549114227
Italy,2016,63571.57804347547,8.016585008525087,14.312371579581296
China,2000,93634.22737375442,8.959332166119601,17.880172673770613
Canada,2006,62345.87794814123,4.152691392375235,7.176293833069533
Spain,2009,96825.74409065212,8.179515407629324,22.173204502260862
UK,2021,34933.43593986393,4.573084974420438,13.615022501525267
Brazil,2017,10798.768008460542,7.785044115961579,20.701568517796744
Germany,2016,69591.94628191474,0.6800020629582559,22.276744057113472
India,2003,58384.48405279929,,19.634739007665658
Germany,2014,66054.63921798163,9.160515012228664,
France,2002,91953.90643129068,5.770901265594088,
USA,2007,96761.02968215998,8.236942176801088,6.051160105820507
